run_idx,k_center,E_k
0,1.4990234375,0.00045318818395055556
0,2.4970703125,0.0017417991079851957
0,3.4951171875,0.001121941578011642
0,4.4931640625,0.0007167003816226984
0,5.4912109375,0.0004058482602014711
0,6.4892578125,0.00033320352285485676
0,7.4873046875,0.00022852608724324434
0,8.4853515625,0.0002257546232902219
0,9.4833984375,0.0001436485411074105
0,10.4814453125,0.00011225888664555686
0,11.4794921875,8.77493327691445e-05
0,12.4775390625,7.108049626740181e-05
0,13.4755859375,6.59219520649042e-05
0,14.4736328125,6.309551558740757e-05
0,15.4716796875,6.2890863645279e-05
0,16.4697265625,4.8014638183471846e-05
0,17.4677734375,4.171390100762904e-05
0,18.4658203125,3.5086102166526096e-05
0,19.4638671875,3.220131767926701e-05
0,20.4619140625,2.5284991647375394e-05
0,21.4599609375,2.4305619440016403e-05
0,22.4580078125,2.3817401105743908e-05
0,23.4560546875,2.1561818643868293e-05
0,24.4541015625,1.8116661812573244e-05
0,25.4521484375,1.655309440041116e-05
0,26.4501953125,1.8642180011264015e-05
0,27.4482421875,1.5583534448940835e-05
0,28.4462890625,1.4523422731200146e-05
0,29.4443359375,1.3872215347677147e-05
0,30.4423828125,1.3404593430720041e-05
0,31.4404296875,1.2673270557914597e-05
0,32.4384765625,1.1807117662151334e-05
0,33.4365234375,1.1022605486005938e-05
0,34.4345703125,9.913054637181328e-06
0,35.4326171875,9.862950781076343e-06
0,36.4306640625,8.633784246600845e-06
0,37.4287109375,8.130913203470276e-06
0,38.4267578125,7.082788744185283e-06
0,39.4248046875,6.483859115938314e-06
0,40.4228515625,5.891537957828298e-06
0,41.4208984375,5.5838027560646846e-06
0,42.4189453125,5.337235885991895e-06
0,43.4169921875,4.91372051941904e-06
0,44.4150390625,4.909509348360082e-06
0,45.4130859375,4.6789573878100745e-06
0,46.4111328125,4.443671557905187e-06
0,47.4091796875,4.375933866546604e-06
0,48.4072265625,4.36815300571549e-06
0,49.4052734375,4.388804039456521e-06
0,50.4033203125,4.126673033879247e-06
0,51.4013671875,4.160482354813741e-06
0,52.3994140625,4.2589784807802606e-06
0,53.3974609375,4.162937390644239e-06
0,54.3955078125,4.159479481211925e-06
0,55.3935546875,4.163313710671784e-06
0,56.3916015625,4.121332883616464e-06
0,57.3896484375,3.821613297374199e-06
0,58.3876953125,3.880937109873899e-06
0,59.3857421875,3.7261636738727135e-06
0,60.3837890625,3.8421278580369595e-06
0,61.3818359375,3.6033083976422476e-06
0,62.3798828125,3.52395611964311e-06
0,63.3779296875,3.2863595008715025e-06
0,64.3759765625,3.2657435696841924e-06
0,65.3740234375,3.1259650486728072e-06
0,66.3720703125,3.014320919922325e-06
0,67.3701171875,2.849952045234718e-06
0,68.3681640625,2.736651409325115e-06
0,69.3662109375,2.7690218096466126e-06
0,70.3642578125,2.625271827820255e-06
0,71.3623046875,2.515925352923707e-06
0,72.3603515625,2.5228282586665955e-06
0,73.3583984375,2.44721681192739e-06
0,74.3564453125,2.3901010026907116e-06
0,75.3544921875,2.310809525739379e-06
0,76.3525390625,2.309020972587161e-06
0,77.3505859375,2.2239302957008875e-06
0,78.3486328125,2.1852907675603116e-06
0,79.3466796875,2.1187440101261905e-06
0,80.3447265625,2.0499575293585184e-06
0,81.3427734375,2.016192697386255e-06
0,82.3408203125,1.92103240242814e-06
0,83.3388671875,1.938350202386511e-06
0,84.3369140625,1.8708475379539265e-06
0,85.3349609375,1.8577292707624475e-06
0,86.3330078125,1.7946610829125764e-06
0,87.3310546875,1.7909046403574271e-06
0,88.3291015625,1.7348769308742702e-06
0,89.3271484375,1.6870419744107666e-06
0,90.3251953125,1.6757442761450878e-06
0,91.3232421875,1.6501793745751413e-06
0,92.3212890625,1.6332651354178817e-06
0,93.3193359375,1.5841807070893461e-06
0,94.3173828125,1.5741193949064357e-06
0,95.3154296875,1.5368770873100522e-06
0,96.3134765625,1.552065789234743e-06
0,97.3115234375,1.5263175508548424e-06
0,98.3095703125,1.547382874304339e-06
0,99.3076171875,1.5877535154892722e-06
0,100.3056640625,1.5521305883584823e-06
0,101.3037109375,1.5816669922380526e-06
0,102.3017578125,1.5893153755521678e-06
0,103.2998046875,1.6436659327312807e-06
0,104.2978515625,1.6419001743071368e-06
0,105.2958984375,1.6457297022598885e-06
0,106.2939453125,1.6700985082728628e-06
0,107.2919921875,1.71969371636032e-06
0,108.2900390625,1.7056696062650496e-06
0,109.2880859375,1.678798149176618e-06
0,110.2861328125,1.6773146525036918e-06
