Dimension,ERank,MaxRank
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
5,41.01209500456691,64
6,93.39861184235461,266
6,93.56930771435057,267
6,93.7396935839244,268
6,93.7396935839244,268
6,93.56930771435057,267
6,93.56930771435057,267
6,93.2276042696859,265
6,93.56930771435057,267
6,93.05628328253141,264
6,93.56930771435057,267
6,93.2276042696859,265
6,93.05628328253141,264
6,93.56930771435057,267
6,93.2276042696859,265
6,93.56930771435057,267
6,93.90977113396144,269
6,93.2276042696859,265
6,93.2276042696859,265
6,93.56930771435057,267
6,93.39861184235461,266
6,93.90977113396144,269
6,93.56930771435057,267
6,93.90977113396144,269
6,93.39861184235461,266
6,93.56930771435057,267
6,93.56930771435057,267
6,93.90977113396144,269
6,93.39861184235461,266
6,93.2276042696859,265
6,93.56930771435057,267
7,168.7947928191872,378
7,168.14262680616577,376
7,167.6190692382722,376
7,168.53304359253406,378
7,167.88105187676567,376
7,168.59940758189882,377
7,168.9899524203491,379
7,168.53304359253406,378
7,168.9899524203491,379
7,168.07608267368244,377
7,168.07608267368244,377
7,168.3379482490516,377
7,167.68579451520014,375
7,168.7947928191872,378
7,168.07608267368244,377
7,168.9899524203491,379
7,168.3379482490516,377
7,169.251586006151,379
7,167.49030979755508,374
7,168.3379482490516,377
7,168.2079570566664,375
7,168.3379482490516,377
7,168.07608267368244,377
7,166.96710202668464,374
7,169.44680957801714,380
7,168.4654677164238,379
7,168.14262680616577,376
7,168.7947928191872,378
7,169.18488716529583,380
7,168.7947928191872,378
8,231.46816328005022,477
8,231.52499865122468,474
8,231.68248208695238,474
8,233.41849505765558,479
8,231.94615312386344,476
8,233.10362243543432,476
8,232.7328705686925,477
8,232.04665719261962,478
8,232.88989537592226,479
8,232.7328705686925,479
8,232.26115964602863,476
8,232.46830013277597,478
8,232.41850291882326,476
8,231.73279670293908,476
8,232.04665719261962,478
8,232.41850291882326,478
8,232.88989537592226,479
8,231.8897800105253,478
8,233.10362243543432,477
8,231.9971284818831,475
8,232.83983061994928,479
8,232.31134902036078,477
8,232.9971407973373,479
8,233.4684358139133,480
8,233.31144318044034,479
8,233.2036280249338,480
8,232.31134902036078,478
8,232.88989537592226,480
8,232.26115964602863,478
8,232.6824141656279,475
9,284.9669319502827,512
9,283.97184375328817,512
9,285.3297191875755,512
9,284.7070138060198,512
9,283.57056538496226,512
9,284.4897739693847,512
9,284.81557161903964,512
9,283.78750224055193,512
9,284.7792231470612,512
9,282.3165313051974,512
9,284.08445200477934,512
9,284.7456280221137,512
9,284.008546880004,512
9,284.6347861552939,512
9,285.0400773438491,512
9,285.5178163986076,512
9,283.56628537993925,512
9,284.888004057706,512
9,284.2648338464647,512
9,285.5145657701596,512
9,283.457753086474,512
9,284.55802419883224,512
9,285.0037574902728,512
9,284.81557161903964,512
9,283.6418053987918,512
9,284.3773261374816,512
9,283.31138276624876,512
9,285.7385225678651,512
9,284.81181164729645,512
9,284.37356037419,512
10,330.27969976226314,578
10,329.6201904501285,576
10,330.26267474739643,575
10,330.6544062891329,576
10,332.1918903697058,581
10,329.7515157221585,574
10,330.5069942549288,578
10,326.83851573989324,570
10,330.1569108352614,577
10,331.44477489661347,579
10,330.29710220412244,576
10,328.5850023196613,570
10,328.68423895929607,570
10,331.31129195516814,577
10,332.2116375002783,579
10,332.031613098386,581
10,329.6503259796609,572
10,328.9095963952599,571
10,329.24373808087995,573
10,331.52129596151264,579
10,329.5134619928192,573
10,329.8911217652726,577
10,329.89888644610454,575
10,331.08549292706755,580
10,328.9572702987681,573
10,330.8504758664024,574
10,329.56484003907565,574
10,331.3610715399539,578
10,331.05624286407175,577
10,331.45796944353356,578
11,376.69787543999996,663
11,372.74589322032,656
11,373.6077539779467,656
11,374.69952420447777,665
11,371.5086334772218,655
11,374.19448464233477,662
11,374.2912439252677,658
11,376.1488627118176,664
11,374.9277181543216,663
11,373.7287403866897,658
11,374.9277181543216,663
11,375.16746854095925,664
11,375.05005590189967,663
11,372.928968819403,660
11,373.2717890375877,660
11,373.00580698279913,659
11,374.2891665346606,660
11,371.62238229976435,658
11,375.3021591082387,663
11,374.38975835992795,662
11,374.57277211003213,664
11,375.87087886995147,664
11,373.129965452769,660
11,373.3071993235776,660
11,373.04020033581975,659
11,375.51342233079953,665
11,373.00208456832326,655
11,373.8906879206698,663
11,373.136514632782,660
11,374.20368675457695,661
12,411.50127550822606,728
12,411.60306046955566,730
12,412.33909853455754,732
12,414.68911509343934,735
12,407.32779728437606,721
12,412.35558548769654,729
12,407.9727998776671,723
12,410.327106804605,721
12,413.4508553974935,730
12,412.70190164290494,729
12,411.6767720500983,726
12,412.7593101772061,729
12,407.64993562231075,721
12,410.28470975415087,727
12,410.6080593316847,725
12,413.9416766462025,730
12,407.1543554094892,720
12,411.4975097106378,730
12,411.23442598450055,729
12,412.3675866052974,730
12,411.2272541420013,728
12,409.27746640478216,726
12,409.10118523777345,722
12,415.2509479945827,731
12,413.7440648360183,732
12,410.9396696183941,727
12,410.3227211059332,725
12,404.03996337902373,713
12,404.35062739473983,715
12,413.86329547436753,731
